array size, create-time(ns), shuffle-time(ns), copy-time(ns), save-time(ns), quicksort-time(ms), bubblesort-time(ms), binarysearch-time(ms), linearsearch-time(ms)
1000, 7300,  1214200,  500,  4300,  4300,  4300,  4300,  4300,  
6000, 30800,  7309400,  13800,  4700,  4700,  4700,  4700,  4700,  
11000, 78800,  13248700,  16800,  4500,  4500,  4500,  4500,  4500,  
16000, 95800,  19618000,  19800,  6400,  6400,  6400,  6400,  6400,  
21000, 128900,  25998900,  37900,  7300,  7300,  7300,  7300,  7300,  
26000, 158600,  31267100,  35400,  6700,  6700,  6700,  6700,  6700,  
31000, 158600,  36019200,  25900,  4600,  4600,  4600,  4600,  4600,  
36000, 180400,  44716500,  42400,  9300,  9300,  9300,  9300,  9300,  
41000, 284600,  46627000,  12900,  5400,  5400,  5400,  5400,  5400,  
46000, 241400,  53231500,  23700,  5100,  5100,  5100,  5100,  5100,  
51000, 267000,  59108300,  22900,  5700,  5700,  5700,  5700,  5700,  
56000, 273800,  64712400,  25900,  6800,  6800,  6800,  6800,  6800,  
61000, 278900,  72748100,  19400,  4700,  4700,  4700,  4700,  4700,  
66000, 323700,  75370200,  25700,  4100,  4100,  4100,  4100,  4100,  
71000, 413300,  82092100,  39200,  9400,  9400,  9400,  9400,  9400,  
76000, 334300,  86714700,  19800,  4500,  4500,  4500,  4500,  4500,  
81000, 393200,  101245400,  41200,  6400,  6400,  6400,  6400,  6400,  
86000, 392300,  102653600,  82600,  6600,  6600,  6600,  6600,  6600,  
91000, 997100,  116465500,  42300,  8200,  8200,  8200,  8200,  8200,  
96000, 525600,  113567000,  54700,  10900,  10900,  10900,  10900,  10900,  
101000, 526400,  124136700,  61800,  6500,  6500,  6500,  6500,  6500,  
106000, 520900,  126134300,  55900,  6700,  6700,  6700,  6700,  6700,  
111000, 586700,  129419700,  88500,  9500,  9500,  9500,  9500,  9500,  
116000, 610100,  134054700,  86400,  6300,  6300,  6300,  6300,  6300,  
121000, 644100,  141294900,  136300,  11000,  11000,  11000,  11000,  11000,  
126000, 572000,  215317900,  105800,  6900,  6900,  6900,  6900,  6900,  
131000, 634200,  164198100,  159700,  7600,  7600,  7600,  7600,  7600,  
136000, 1231800,  208575700,  101800,  6200,  6200,  6200,  6200,  6200,  
141000, 739600,  179525800,  103300,  7000,  7000,  7000,  7000,  7000,  
146000, 752100,  174095800,  122100,  6800,  6800,  6800,  6800,  6800,  
151000, 670200,  182322800,  109700,  6400,  6400,  6400,  6400,  6400,  
156000, 725900,  181131300,  120700,  7100,  7100,  7100,  7100,  7100,  
161000, 746700,  195242900,  146000,  8100,  8100,  8100,  8100,  8100,  
166000, 793200,  191064400,  114100,  6700,  6700,  6700,  6700,  6700,  
171000, 789200,  212936100,  123300,  6300,  6300,  6300,  6300,  6300,  
176000, 751200,  229150500,  147000,  7000,  7000,  7000,  7000,  7000,  
181000, 814000,  265766300,  167900,  9900,  9900,  9900,  9900,  9900,  
186000, 1947600,  356768500,  259700,  10300,  10300,  10300,  10300,  10300,  
191000, 765000,  220381600,  128600,  5700,  5700,  5700,  5700,  5700,  
196000, 790900,  240888600,  193400,  8000,  8000,  8000,  8000,  8000,  
201000, 1084800,  259890200,  162600,  8800,  8800,  8800,  8800,  8800,  
206000, 874300,  245564800,  127400,  7700,  7700,  7700,  7700,  7700,  
211000, 830200,  253798900,  154700,  9000,  9000,  9000,  9000,  9000,  
216000, 1126500,  281996900,  149400,  9500,  9500,  9500,  9500,  9500,  
